indoor_air_quality,indoor_humidity,indoor_temp,ip_address,outdoor_humidity,outdoor_temp,outdoor_weather,datetime
9.0,53.66,23.61,86.111.136.240,97.0,13.02,,2024-05-15 09:38:10
0.0,53.84,23.67,86.111.136.240,97.0,13.02,,2024-05-15 09:36:53
0.0,53.67,23.98,86.111.136.240,97.0,12.82,,2024-05-15 09:25:06
0.0,58.23,24.04,86.111.136.240,,,,2024-05-15 09:24:10
16.0,61.02,23.83,86.111.136.240,,,,2024-05-15 09:24:04
11.0,54.82,23.83,86.111.136.240,,,,2024-05-15 09:23:42
20.0,56.89,23.87,86.111.136.240,97.0,12.72,,2024-05-15 09:15:28
5.0,54.4,23.67,86.111.136.240,97.0,13.14,,2024-05-15 09:02:14
0.0,54.8,23.63,86.111.136.240,97.0,13.14,,2024-05-15 08:59:29
0.0,55.1,23.47,86.111.136.240,97.0,12.21,,2024-05-15 08:33:43
0.0,55.41,23.4,86.111.136.240,97.0,12.21,,2024-05-15 08:31:58
80.0,52.69,24.84,86.111.136.240,52.0,16.32,,2024-05-12 22:12:33
100.0,52.04,24.62,86.111.136.240,52.0,16.32,,2024-05-12 22:10:32
86.0,52.15,24.65,86.111.136.240,52.0,16.32,,2024-05-12 22:08:31
64.0,52.05,24.49,86.111.136.240,52.0,16.32,,2024-05-12 22:06:28
55.0,52.03,24.69,86.111.136.240,48.0,15.13,,2024-05-12 22:04:27
52.0,51.96,24.67,86.111.136.240,48.0,15.13,,2024-05-12 22:02:27
56.0,51.73,24.75,86.111.136.240,48.0,15.13,,2024-05-12 22:00:26
50.0,51.63,24.89,86.111.136.240,48.0,15.13,,2024-05-12 21:58:20
34.0,51.52,25.02,86.111.136.240,48.0,15.13,,2024-05-12 21:56:17
6.0,51.61,25.18,86.111.136.240,72.0,13.13,,2024-05-12 21:54:15
4.0,51.83,24.86,86.111.136.240,72.0,13.13,,2024-05-12 21:52:15
0.0,52.93,24.87,86.111.136.240,72.0,13.13,,2024-05-12 21:50:18
0.0,51.64,25.0,86.111.136.240,72.0,13.13,,2024-05-12 21:47:46
19.0,53.77,24.82,86.111.136.240,72.0,13.13,,2024-05-12 21:45:57
8.0,51.25,24.66,86.111.136.240,,,,2024-05-12 21:44:13
0.0,51.18,24.77,86.111.136.240,47.0,17.4,,2024-05-12 21:29:38
0.0,50.89,24.84,86.111.136.240,47.0,17.43,,2024-05-12 21:27:26
0.0,50.9,24.8,86.111.136.240,47.0,17.43,,2024-05-12 21:25:20
0.0,50.77,24.82,86.111.136.240,47.0,17.43,,2024-05-12 21:23:41
0.0,50.9,24.76,86.111.136.240,69.0,16.53,,2024-05-12 21:21:18
0.0,50.87,24.73,86.111.136.240,69.0,16.53,,2024-05-12 21:19:17
0.0,50.72,24.8,86.111.136.240,69.0,16.53,,2024-05-12 21:16:54
0.0,50.78,24.73,86.111.136.240,69.0,16.53,,2024-05-12 21:14:54
0.0,50.76,24.7,86.111.136.240,69.0,16.53,,2024-05-12 21:13:09
5.0,50.78,24.7,86.111.136.240,,,,2024-05-12 21:11:24
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:56:44
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:55:01
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:54:25
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:41:16
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:40:29
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:38:34
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:34:44
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:28:13
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:22:50
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 14:16:36
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-12 13:04:04
0.0,47.72,25.18,86.111.136.240,54.0,18.43,,2024-05-11 21:25:05
0.0,46.66,25.48,86.111.136.240,54.0,18.43,,2024-05-11 21:23:03
0.0,46.9,25.4,86.111.136.240,54.0,18.43,,2024-05-11 21:20:54
0.0,47.96,24.76,86.111.136.240,,,,2024-05-11 21:18:43
0.0,48.71,24.65,86.111.136.240,54.0,18.43,,2024-05-11 21:14:55
0.0,49.13,24.72,86.111.136.240,54.0,18.43,,2024-05-11 21:12:29
0.0,47.55,24.69,86.111.136.240,54.0,18.43,,2024-05-11 21:10:29
0.0,47.58,24.82,86.111.136.240,76.0,18.3,,2024-05-11 21:08:24
0.0,47.5,24.84,86.111.136.240,76.0,18.3,,2024-05-11 21:05:58
0.0,47.43,24.91,86.111.136.240,76.0,18.3,,2024-05-11 21:03:31
611.0,47.03,25.13,86.111.136.240,76.0,18.3,,2024-05-11 21:01:25
0.0,46.64,25.14,86.111.136.240,76.0,18.3,,2024-05-11 20:59:47
0.0,46.88,25.11,86.111.136.240,76.0,18.3,,2024-05-11 20:57:09
0.0,46.7,25.25,86.111.136.240,76.0,18.3,,2024-05-11 20:55:04
0.0,48.87,25.17,86.111.136.240,76.0,18.3,,2024-05-11 20:52:58
0.0,48.33,24.32,86.111.136.240,76.0,18.3,,2024-05-11 20:50:29
0.0,48.14,24.31,86.111.136.240,76.0,17.67,,2024-05-11 20:48:26
0.0,48.51,24.45,86.111.136.240,76.0,17.67,,2024-05-11 20:46:25
0.0,48.38,24.28,86.111.136.240,76.0,17.67,,2024-05-11 20:44:25
0.0,48.02,24.36,86.111.136.240,76.0,19.08,,2024-05-11 20:42:03
0.0,47.72,24.35,86.111.136.240,76.0,19.08,,2024-05-11 20:40:03
0.0,47.68,24.43,86.111.136.240,76.0,19.08,,2024-05-11 20:38:02
0.0,47.36,24.38,86.111.136.240,76.0,19.08,,2024-05-11 20:35:57
0.0,47.4,24.39,86.111.136.240,76.0,19.08,,2024-05-11 20:34:13
0.0,47.53,24.26,86.111.136.240,,,,2024-05-11 20:32:27
0.0,47.55,24.15,86.111.136.240,,,,2024-05-11 20:32:24
0.0,52.51,24.09,86.111.136.240,78.0,13.69,,2024-05-11 00:25:31
6.0,52.54,24.22,86.111.136.240,,,,2024-05-11 00:23:47
0.0,52.61,24.15,86.111.136.240,,,,2024-05-11 00:23:45
0.0,52.49,24.17,86.111.136.240,78.0,13.69,,2024-05-11 00:19:31
0.0,52.56,24.21,86.111.136.240,78.0,13.52,,2024-05-11 00:12:00
1.0,52.41,24.29,86.111.136.240,78.0,13.49,,2024-05-11 00:09:48
0.0,52.66,24.26,86.111.136.240,78.0,13.49,,2024-05-11 00:08:11
0.0,52.57,24.24,86.111.136.240,78.0,13.49,,2024-05-11 00:06:07
0.0,52.77,23.96,86.111.136.240,78.0,13.54,,2024-05-11 00:02:14
0.0,52.67,24.01,86.111.136.240,78.0,13.49,,2024-05-11 00:00:50
0.0,53.1,24.01,86.111.136.240,79.0,13.7,,2024-05-10 23:17:21
0.0,53.08,24.09,86.111.136.240,79.0,13.7,,2024-05-10 23:15:19
0.0,52.93,24.07,86.111.136.240,79.0,13.7,,2024-05-10 23:13:09
0.0,53.02,24.12,86.111.136.240,79.0,13.7,,2024-05-10 23:11:08
0.0,53.07,24.25,86.111.136.240,79.0,13.7,,2024-05-10 23:09:10
0.0,52.72,24.31,86.111.136.240,79.0,13.7,,2024-05-10 23:07:08
0.0,52.32,24.4,86.111.136.240,79.0,13.7,,2024-05-10 23:05:05
0.0,52.12,24.73,86.111.136.240,79.0,13.74,,2024-05-10 23:03:12
0.0,69.13,24.87,86.111.136.240,79.0,13.74,,2024-05-10 23:00:44
0.0,52.27,24.58,86.111.136.240,79.0,13.74,,2024-05-10 22:58:23
0.0,51.58,24.87,86.111.136.240,79.0,13.74,,2024-05-10 22:56:21
0.0,50.73,25.71,86.111.136.240,79.0,13.74,,2024-05-10 22:53:58
0.0,55.36,24.09,86.111.136.240,79.0,13.74,,2024-05-10 22:51:31
0.0,53.67,23.87,86.111.136.240,79.0,13.74,,2024-05-10 22:49:51
0.0,54.37,23.74,86.111.136.240,79.0,13.74,,2024-05-10 22:48:26
0.0,50.37,24.63,86.111.136.240,66.0,15.92,,2024-05-09 19:42:25
0.0,49.31,24.52,86.111.136.240,66.0,15.92,,2024-05-09 19:40:46
0.0,49.43,24.45,86.111.136.240,66.0,15.92,,2024-05-09 19:39:22
0.0,49.31,24.52,86.111.136.240,66.0,15.92,,2024-05-09 19:35:28
0.0,49.27,24.51,86.111.136.240,66.0,15.92,,2024-05-09 19:32:53
34.0,49.03,24.42,86.111.136.240,65.0,15.95,,2024-05-09 19:19:27
20.0,48.99,24.55,86.111.136.240,65.0,16.35,,2024-05-09 19:17:06
0.0,48.33,24.8,86.111.136.240,65.0,16.35,,2024-05-09 19:15:05
0.0,47.9,25.02,86.111.136.240,65.0,16.35,,2024-05-09 19:13:04
0.0,47.34,25.48,86.111.136.240,65.0,16.35,,2024-05-09 19:11:03
16.0,53.46,25.45,86.111.136.240,65.0,16.35,,2024-05-09 19:09:59
0.0,49.22,24.35,86.111.136.240,65.0,16.26,,2024-05-09 19:07:42
19.0,49.3,24.42,86.111.136.240,65.0,16.27,,2024-05-09 19:06:08
0.0,49.25,24.38,86.111.136.240,65.0,16.27,,2024-05-09 19:04:07
0.0,49.48,24.42,86.111.136.240,65.0,16.27,,2024-05-09 19:02:27
0.0,49.25,24.34,86.111.136.240,65.0,16.27,,2024-05-09 19:01:03
183.0,46.82,23.64,86.111.136.240,79.0,9.69,,2024-05-09 01:16:13
0.0,46.58,23.66,86.111.136.240,79.0,9.69,,2024-05-09 01:14:50
138.0,47.27,26.2,86.111.136.240,76.0,10.2,,2024-05-09 00:38:05
169.0,45.41,25.51,86.111.136.240,76.0,10.2,,2024-05-09 00:36:02
0.0,47.5,24.96,86.111.136.240,76.0,10.2,,2024-05-09 00:34:01
0.0,43.26,25.21,86.111.136.240,76.0,10.2,,2024-05-09 00:32:21
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:41:14
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:38:10
,39.0,28.0,86.111.136.24,28.0,21.9,Test,2024-05-06 11:38:01
12.0,52.16,24.63,86.111.136.240,83.0,14.84,,2024-05-05 23:02:36
0.0,51.96,24.66,86.111.136.240,83.0,14.84,,2024-05-05 22:57:28
4.0,52.15,24.56,86.111.136.240,82.0,14.85,,2024-05-05 22:45:38
0.0,52.37,24.52,86.111.136.240,82.0,14.79,,2024-05-05 22:40:36
5.0,52.36,24.45,86.111.136.240,82.0,14.85,,2024-05-05 22:36:54
1.0,52.18,24.42,86.111.136.240,82.0,14.79,,2024-05-05 22:31:56
2.0,52.04,24.63,86.111.136.240,83.0,14.67,,2024-05-05 22:18:57
